simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,e2e_mean,4447.4134394550965,3610.361284431691,23.184720006634087,23.184720006634087,837.0521550234057,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,e2e_p90,4551.063,3652.537275571376,24.600042563236137,24.600042563236137,898.525724428624,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,e2e_p99,4588.049,4054.1054230555887,13.170441348364758,13.170441348364758,533.9435769444112,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,ttft_mean,46.318861251261346,44.458239275341235,4.185100458875134,4.185100458875134,1.860621975920111,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,ttft_p90,53.3726,49.74106717854738,7.300874362862173,7.300874362862173,3.631532821452616,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,ttft_p99,58.14226,69.03069022111583,15.773317905758336,-15.773317905758336,10.888430221115833,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,0,itl_mean,17.887315358552176,14.35706711617361,24.58892344663938,24.58892344663938,3.5302482423785655,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,e2e_mean,4735.545805623472,3779.1062494528783,25.308617779906616,25.308617779906616,956.4395561705932,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,e2e_p90,4902.067,3839.3582820892334,27.679331800534147,27.679331800534147,1062.7087179107666,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,e2e_p99,5025.663,3881.8717834725976,29.464940635009928,29.464940635009928,1143.791216527402,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,ttft_mean,61.52688630806845,46.141645326744765,33.34350318974439,33.34350318974439,15.385240981323683,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,ttft_p90,104.553,52.13494198396802,100.54304468613586,100.54304468613586,52.41805801603198,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,ttft_p99,152.757,54.88287404179573,178.332727042809,178.332727042809,97.87412595820427,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,1,itl_mean,18.99676389965611,15.02923785833464,26.39871747802057,26.39871747802057,3.96752604132147,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,-1,e2e_mean,4641.4946940052705,3722.85792777915,24.67557946198952,24.67557946198952,918.6367662261204,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,-1,e2e_p90,4868.143,3833.373219706118,26.99371339514944,26.99371339514944,1034.769780293882,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,-1,e2e_p99,5021.051,3898.930551502854,28.780211231631753,28.780211231631753,1122.1204484971463,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,-1,ttft_mean,56.562738471673256,45.58050997627692,24.094132560412785,24.094132560412785,10.982228495396336,2,H100,,True,0.9,FP16,2,2048
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,-1,ttft_p90,89.388,51.69195467606187,72.92439521811093,72.92439521811093,37.69604532393814,2,H100,,True,0.9,FP16,2,2048
